#Results,HTTP requests,Query execution time,CPU load,Memory usage
Query 1 - 10 persons - probability 0.0002
Query 4 - 500 persons - probability 0.0002
50,52,0.779,15.53,87.20
50,52,0.702,15.58,86.86
50,52,0.706,16.04,85.66
Query 4 - 500 persons - probability 0.25
50,199,1.264,15.45,129.25
50,199,1.233,16.15,133.26
50,199,1.278,14.82,133.69
Query 4 - 500 persons - probability 0.5
50,270,1.431,16.11,139.98
50,270,1.461,17.90,141.57
50,270,1.372,15.23,141.12
Query 4 - 1000 persons - probability 0.0002
91,93,1.280,16.62,102.27
91,93,1.145,15.68,102.85
91,93,1.140,14.73,103.42
Query 4 - 1000 persons - probability 0.25
91,384,2.231,16.55,199.17
91,384,2.182,14.94,200.73
91,384,2.133,15.28,203.84
Query 4 - 1000 persons - probability 0.5
91,550,2.846,15.09,213.55
91,550,2.718,14.51,213.41
91,550,2.729,15.24,212.45
Query 4 - 2000 persons - probability 0.0002
177,181,2.367,14.27,124.96
177,181,2.121,16.11,125.23
177,181,2.076,14.58,129.21
Query 4 - 2000 persons - probability 0.25
177,771,4.405,15.92,327.86
177,771,4.576,15.62,325.91
177,771,4.456,15.60,326.31
Query 4 - 2000 persons - probability 0.5
177,1100,5.652,14.76,420.23
177,1100,5.787,14.78,416.05
177,1100,5.747,14.99,416.41
Query 4 - 3500 persons - probability 0.0002
293,300,3.626,13.68,164.18
293,300,3.338,14.45,171.48
293,300,3.366,14.21,168.82
Query 4 - 3500 persons - probability 0.25
293,1320,7.759,14.65,536.61
293,1320,8.374,14.95,536.73
293,1320,7.735,14.72,542.48
Query 4 - 3500 persons - probability 0.5
293,1900,10.125,15.43,621.06
293,1900,10.045,14.74,621.48
293,1900,10.104,15.56,619.34
Query 5 - 10 persons - probability 0.0002
0,3,0.069,11.07,64.85
0,3,0.076,10.36,65.09
0,3,0.077,15.06,65.28
Query 5 - 10 persons - probability 0.25
0,4,0.101,11.40,65.41
0,4,0.104,12.98,65.71
0,4,0.099,7.88,65.13
Query 5 - 10 persons - probability 0.5
0,8,0.133,13.06,65.23
0,8,0.122,9.55,65.70
0,8,0.117,15.06,65.09
Query 5 - 100 persons - probability 0.0002
0,36,0.195,13.01,72.74
0,36,0.194,14.18,68.51
0,36,0.197,14.91,73.43
Query 5 - 100 persons - probability 0.25
0,68,0.612,13.70,76.21
0,68,0.390,17.49,76.08
0,68,0.407,14.83,76.13
Query 5 - 100 persons - probability 0.5
0,93,0.477,16.74,91.86
0,93,0.475,15.24,87.43
0,93,0.477,15.95,88.23
Query 5 - 500 persons - probability 0.0002
1,224,2.083,15.36,155.99
1,224,2.075,14.50,153.91
1,224,1.960,15.74,154.52
Query 5 - 500 persons - probability 0.25
1,473,2.914,14.41,251.33
1,473,2.907,14.11,245.77
1,473,2.886,14.07,252.87
Query 5 - 500 persons - probability 0.5
1,654,3.467,15.38,295.24
1,654,3.530,14.77,294.18
1,654,3.448,14.38,292.29
Query 5 - 1000 persons - probability 0.0002
4,465,5.011,13.33,224.90
4,465,5.052,14.38,230.45
4,465,5.500,13.42,237.10
Query 5 - 1000 persons - probability 0.25
4,982,6.992,13.35,401.06
4,982,7.078,13.74,403.68
4,982,7.003,12.97,401.17
Query 5 - 1000 persons - probability 0.5
4,1560,8.835,13.46,327.98
4,1560,9.006,13.36,577.27
4,1560,8.837,13.94,330.57
Query 5 - 2000 persons - probability 0.0002
7,974,13.114,13.33,401.32
7,974,12.380,13.16,402.27
7,974,12.619,13.42,403.21
Query 5 - 2000 persons - probability 0.25
7,2046,16.542,13.33,772.17
7,2046,17.957,13.27,770.09
7,2046,17.142,13.19,764.04
Query 5 - 2000 persons - probability 0.5
7,3817,23.712,12.98,1421.75
7,3817,23.484,13.39,1424.11
7,3817,21.990,13.31,1419.32
