Query execution time,CPU load,Memory usage,#Results,HTTP requests
0.818,13.11,88.18,50,55
0.834,14.75,88.38,50,55
Query 4 - 500 persons - probability 0.01
0.990,12.80,91.93,50,65
0.843,12.96,91.50,50,65
0.913,13.03,91.82,50,65
Query 4 - 500 persons - probability 0.016
1.350,15.18,88.93,50,61
1.203,12.98,89.27,50,61
1.042,12.74,89.10,50,61
Query 4 - 1000 persons - probability 0.001
1.476,12.04,106.59,91,99
1.697,11.84,104.96,91,99
1.408,13.44,104.67,91,99
Query 4 - 1000 persons - probability 0.01
1.630,11.74,111.62,91,122
1.557,12.43,108.82,91,122
1.660,12.00,108.67,91,122
Query 4 - 1000 persons - probability 0.016
1.546,12.50,102.69,91,123
1.612,12.48,113.84,91,123
1.512,13.16,107.54,91,123
Query 4 - 2000 persons - probability 0.001
2.707,13.05,139.69,177,194
2.610,12.80,137.91,177,194
2.669,11.86,138.62,177,194
Query 4 - 2000 persons - probability 0.01
2.812,12.29,149.77,177,222
2.829,12.29,149.64,177,222
2.699,12.81,148.61,177,222
Query 4 - 2000 persons - probability 0.016
2.940,11.83,148.50,177,234
2.927,12.01,153.24,177,234
3.616,12.04,151.75,177,234
Query 4 - 3500 persons - probability 0.001
4.529,11.56,182.73,293,315
4.250,11.90,187.12,293,315
4.182,12.70,185.59,293,315
Query 4 - 3500 persons - probability 0.01
4.510,11.21,208.99,293,373
4.877,11.37,210.23,293,373
4.507,10.57,208.97,293,373
Query 4 - 3500 persons - probability 0.016
4.795,11.48,218.99,293,409
4.688,11.71,218.16,293,409
5.576,12.19,218.83,293,409
Query 5 - 10 persons - probability 0.001
0.081,16.62,64.77,0,3
0.084,13.66,64.39,0,3
0.067,11.40,64.40,0,3
Query 5 - 10 persons - probability 0.01
0.067,8.82,64.04,0,4
0.087,15.63,64.40,0,4
0.076,17.69,64.88,0,4
Query 5 - 10 persons - probability 0.016
0.140,12.50,64.98,0,4
0.101,7.67,65.16,0,4
0.094,12.37,64.74,0,4
Query 5 - 100 persons - probability 0.001
0.238,15.48,72.52,0,36
0.232,12.55,72.81,0,36
0.231,16.02,72.27,0,36
Query 5 - 100 persons - probability 0.01
0.190,13.35,72.47,0,36
0.191,12.17,72.34,0,38
0.194,13.97,73.12,0,38
Query 5 - 100 persons - probability 0.016
0.270,12.96,72.49,0,39
0.246,13.52,72.77,0,39
0.242,12.09,72.47,0,39
Query 5 - 500 persons - probability 0.001
3.211,12.41,163.02,1,225
2.811,11.32,162.96,1,225
3.563,11.29,163.41,1,225
Query 5 - 500 persons - probability 0.01
2.974,11.16,166.54,1,237
3.011,11.60,167.22,1,237
2.862,12.83,167.28,1,237
Query 5 - 500 persons - probability 0.016
2.803,11.50,167.15,1,233
2.760,11.88,166.24,1,233
2.792,11.89,165.75,1,233
Query 5 - 1000 persons - probability 0.001
6.745,11.93,257.14,4,466
6.818,10.97,256.86,4,466
6.596,11.79,256.28,4,466
Query 5 - 1000 persons - probability 0.01
6.548,11.51,255.79,4,503
6.575,11.38,268.06,4,503
6.466,12.20,269.04,4,503
Query 5 - 1000 persons - probability 0.016
6.279,12.23,254.18,4,493
6.215,11.03,266.69,4,493
6.887,11.86,266.97,4,493
Query 5 - 2000 persons - probability 0.001
15.022,11.74,447.52,7,980
14.462,11.57,431.59,7,980
14.289,11.77,441.88,7,980
Query 5 - 2000 persons - probability 0.01
15.735,11.19,459.49,7,1032
15.164,11.54,449.04,7,1032
14.796,11.71,453.66,7,1032
Query 5 - 2000 persons - probability 0.016
15.085,11.65,218.07,7,1035
15.407,11.53,225.58,7,1035
15.167,11.70,452.45,7,1035
Query 5 - 3500 persons - probability 0.001
30.927,11.67,736.46,10,1773
31.967,11.38,734.60,10,1773
31.945,11.36,738.01,10,1773
Query 5 - 3500 persons - probability 0.01
32.261,11.68,762.00,10,1866
35.075,11.58,759.23,10,1866
33.887,11.15,761.81,10,1866
Query 5 - 3500 persons - probability 0.016
34.627,11.49,781.85,10,1889
34.926,11.59,768.07,10,1889
34.064,11.42,776.22,10,1889
Query 6 - 10 persons - probability 0.001
0.076,10.23,64.28,0,7
0.074,13.34,64.41,0,7
0.097,13.92,64.93,0,7
Query 6 - 10 persons - probability 0.01
0.068,14.15,64.89,0,7
0.069,14.31,64.91,0,7
0.082,11.75,64.66,0,7
Query 6 - 10 persons - probability 0.016
0.072,16.32,64.58,0,7
0.068,11.58,64.52,0,7
0.067,26.31,64.28,0,7
Query 6 - 100 persons - probability 0.001
0.922,12.70,103.70,1,65
1.016,12.67,102.72,1,65
1.162,11.93,102.16,1,65
Query 6 - 100 persons - probability 0.01
0.961,12.79,100.47,1,67
1.010,12.19,102.93,1,67
0.913,12.19,103.25,1,67
Query 6 - 100 persons - probability 0.016
1.090,13.43,101.93,1,68
1.052,13.18,103.10,1,68
0.886,14.53,103.27,1,68
Query 6 - 500 persons - probability 0.001
5.721,11.57,181.24,7,304
5.639,11.95,179.87,7,304
5.798,11.86,180.79,7,304
Query 6 - 500 persons - probability 0.01
5.841,11.50,185.21,7,321
5.861,11.63,184.17,7,321
5.805,11.81,184.57,7,321
Query 6 - 500 persons - probability 0.016
6.721,12.32,188.96,7,336
6.660,11.52,188.93,7,336
5.875,11.87,189.32,7,336
Query 6 - 1000 persons - probability 0.001
16.575,11.79,254.54,14,593
16.800,11.83,261.54,14,593
18.193,12.13,260.04,14,593
Query 6 - 1000 persons - probability 0.01
17.341,12.01,278.24,14,629
16.881,11.75,289.56,14,629
17.814,11.64,273.78,14,629
Query 6 - 1000 persons - probability 0.016
17.517,11.83,289.43,14,669
17.309,11.63,180.96,14,669
17.790,11.90,286.22,14,669
Query 6 - 2000 persons - probability 0.001
66.465,11.96,513.93,32,1170
67.022,12.11,501.16,32,1170
60.806,12.23,472.75,32,1170
Query 6 - 2000 persons - probability 0.01
60.871,12.36,513.96,32,1238
60.562,12.24,535.11,32,1238
61.315,12.19,535.24,32,1238
Query 6 - 2000 persons - probability 0.016
60.722,12.18,555.66,32,1320
61.202,12.24,174.89,32,1320
60.798,12.20,548.42,32,1320
Query 6 - 3500 persons - probability 0.001
185.467,12.15,185.55,52,2012
190.014,12.28,184.46,52,2012
189.209,12.33,178.62,52,2012
Query 6 - 3500 persons - probability 0.01
190.718,12.32,229.40,52,2148
192.452,12.37,211.56,52,2148
192.600,12.39,214.59,52,2148
Query 6 - 3500 persons - probability 0.016
194.839,12.32,230.50,52,2300
180.704,12.30,223.66,52,2300
187.219,12.29,228.99,52,2300
Query 7 - 10 persons - probability 0.001
0.068,11.40,64.36,0,3
0.089,10.96,64.65,0,3
0.083,20.98,64.63,0,3
Query 7 - 10 persons - probability 0.01
0.072,13.18,64.86,0,3
0.068,14.34,64.52,0,3
0.070,16.37,64.49,0,3
Query 7 - 10 persons - probability 0.016
0.069,14.31,64.36,0,3
0.065,11.74,64.41,0,3
0.065,14.77,64.20,0,3
Query 7 - 100 persons - probability 0.001
0.616,12.36,86.46,1,25
0.650,12.00,86.34,1,25
0.515,14.39,85.77,1,25
